BASE_YM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,SIGNGU_ACCTO_FCLTY_CO,SIGNGU_ACCTO_POPLTN_CO,PSNBY_FCLTY_CO,PSNBY_FCL_CO_RANK_CO
"202008","4800000000","경상남도","4812000000","창원시","111","1038677","0.00011","210"
"202008","4800000000","경상남도","4817000000","진주시","26","347262","0.00007","219"
"202008","4800000000","경상남도","4822000000","통영시","291","129226","0.00225","39"
"202008","4800000000","경상남도","4824000000","사천시","75","111440","0.00067","107"
"202008","4800000000","경상남도","4825000000","김해시","52","542538","0.00010","212"
"202008","4800000000","경상남도","4827000000","밀양시","219","105026","0.00209","42"
"202008","4800000000","경상남도","4831000000","거제시","42","246402","0.00017","191"
"202008","4800000000","경상남도","4833000000","양산시","141","351691","0.00040","146"
"202008","4800000000","경상남도","4872000000","의령군","193","26883","0.00718","2"
"202008","4800000000","경상남도","4873000000","함안군","79","64497","0.00122","75"
"202008","4800000000","경상남도","4874000000","창녕군","37","61590","0.00060","117"
"202008","4800000000","경상남도","4882000000","고성군","108","51630","0.00209","41"
"202008","4800000000","경상남도","4884000000","남해군","179","42980","0.00416","15"
"202008","4800000000","경상남도","4885000000","하동군","34","45257","0.00075","97"
"202008","4800000000","경상남도","4886000000","산청군","64","35071","0.00182","48"
"202008","4800000000","경상남도","4887000000","함양군","93","39236","0.00237","37"
"202008","4800000000","경상남도","4888000000","거창군","117","61468","0.00190","47"
"202008","4800000000","경상남도","4889000000","합천군","159","44295","0.00359","23"
"202008","5000000000","제주특별자치도","5011000000","제주시","198","491184","0.00040","144"
"202008","5000000000","제주특별자치도","5013000000","서귀포시","264","181340","0.00146","63"
"202009","1100000000","서울특별시","1111000000","종로구","81","149952","0.00054","127"
"202009","1100000000","서울특별시","1114000000","중구","26","125800","0.00021","182"
"202009","1100000000","서울특별시","1117000000","용산구","28","229786","0.00012","207"
"202009","1100000000","서울특별시","1120000000","성동구","28","295591","0.00009","214"
"202009","1100000000","서울특별시","1121500000","광진구","25","348064","0.00007","220"
"202009","1100000000","서울특별시","1123000000","동대문구","17","344416","0.00005","227"
"202009","1100000000","서울특별시","1126000000","중랑구","18","395997","0.00005","228"
"202009","1100000000","서울특별시","1129000000","성북구","54","439719","0.00012","206"
"202009","1100000000","서울특별시","1130500000","강북구","53","309996","0.00017","190"
